ANTH-301 -50 000984,Approaches to Cultural Anthropology,4,ANTH-Anthropology
ANTH-302 -01 000985,Gender and Culture,4,ANTH-Anthropology
ANTH-302 -02 000986,Gender and Culture,4,ANTH-Anthropology
ANTH-304 -01 000987,Anthropology of Religion,4,ANTH-Anthropology
COMM-333 -02 001063,Intermediate Intercultural Communication,4,COMM-Communication
COMM-333 -03 001185,Intermediate Intercultural Communication,4,COMM-Communication
COMM-333 -50 001049,Intermediate Intercultural Communication,4,COMM-Communication
COMM-333 -51 001050,Intermediate Intercultural Communication,4,COMM-Communication
COMM-333 -52 001048,Intermediate Intercultural Communication,4,COMM-Communication
HIST-394 -01 001078,Comparative Women's History,4,HIST-History
HSCI-309 -50 000829,Global Health Issues,3,HSCI-Health Science
HSCI-309 -51 000830,Global Health Issues,3,HSCI-Health Science
HUM-316 -01 000855,Romanticism,4,HUM-Humanities
IBUS-311 -02 000611,International Business Environment and Operations,4,IBUS-International Business
IBUS-311 -03 001118,International Business Environment and Operations,4,IBUS-International Business
LING-316 -01 000880,The Nature of Language,4,LING-Linguistics
LING-326 -50 000881,Language and Culture,4,LING-Linguistics
LIT-364 -01 000895,Literature by Immigrants of Color,4,LIT-Literature
MKTG-480 -01 000708,International Marketing,4,"MKTG-Marketing, Advertising and Purchasing"
POL-303 -01 000995,Ethnic Conflict in Global Perspective,4,POL-Political Science
POL-304 -01 000996,Social Movements in Global Perspective,4,POL-Political Science
POL-321 -50 000998,Approaches to World Politics,4,POL-Political Science
RELS-304 -50 000931,Introduction to World Religions,4,RELS-Religious Studies
RELS-308 -50 000932,World of Islam,4,RELS-Religious Studies
RELS-312 -50 000933,Religious Traditions of China,4,RELS-Religious Studies
SOC-303 -01 001005,Ethnic Conflict in Global Perspective,4,SOC-Sociology
SOC-304 -01 001006,Social Movements in Global Perspective,4,SOC-Sociology
SPAN-101 -01 000900,Beginning Spanish I,4,SPAN-Spanish
SPAN-101 -50 000901,Beginning Spanish I,4,SPAN-Spanish
SPAN-102 -01 000902,Beginning Spanish II,4,SPAN-Spanish
SPAN-201 -50 000903,Intermediate Spanish I,4,SPAN-Spanish
SPAN-202 -21 000905,Intermediate Spanish II,4,SPAN-Spanish
