ARTS-106 -01 000909,Introduction to Drawing,4,ARTS-Arts
ARTS-106 -02 000910,Introduction to Drawing,4,ARTS-Arts
ARTS-115 -01 000911,Introduction to Photography,4,ARTS-Arts
ARTS-203 -01 000912,Introduction to Digital Arts,4,ARTS-Arts
ARTS-203 -50 001224,Introduction to Digital Arts,4,ARTS-Arts
ARTS-301 -01 000915,Current Topics: Alternative Photo Processes,2,ARTS-Arts
ARTS-301 -02 000916,Current Topics: Sculptural Techniques,2,ARTS-Arts
ARTS-302 -41 000917,Exhibition Practices,2,ARTS-Arts
ARTS-306 -01 000918,Intermediate Drawing,4,ARTS-Arts
ARTS-307 -01 001110,Intermediate Painting,4,ARTS-Arts
ARTS-319 -01 000919,Topics in Printmaking: Relief,4,ARTS-Arts
ARTS-320 -01 000920,Topics in Clay: Wheel-Throwing,3,ARTS-Arts
CJS-375 -01 000320,Ethics and Professionalism in Criminal Justice,4,CJS-Criminal Justice
CJS-375 -02 000321,Ethics and Professionalism in Criminal Justice,4,CJS-Criminal Justice
CJS-375 -50 000322,Ethics and Professionalism in Criminal Justice,4,CJS-Criminal Justice
COMM-200 -01 001043,"Creating Change through Communication, Writing and the Arts",4,COMM-Communication
ETHS-100 -01 001210,Introduction to Ethnic Studies,4,ETHS-Ethnic Studies
ETHS-200 -22 001368,"Theories of Race, Ethnicity and Culture",4,ETHS-Ethnic Studies
ETHS-200 -50 001212,"Theories of Race, Ethnicity and Culture",4,ETHS-Ethnic Studies
ETHS-250 -21 001214,Latino/Hispanic Cultural Competency: Introductory Concepts,4,ETHS-Ethnic Studies
ETHS-302 -01 000937,Immigrant Communities and the Trajectories of Othering,4,ETHS-Ethnic Studies
ETHS-311 -50 000941,Understanding Racial and Ethnic Groups in the United States,4,ETHS-Ethnic Studies
ETHS-311 -51 000956,Understanding Racial and Ethnic Groups in the United States,4,ETHS-Ethnic Studies
GNDR-270 -01 000976,"Gender, Race and Popular Culture",3,GNDR-Gender Studies
GNDR-365 -01 000977,The Cultural Politics of LGBT Sexuality,4,GNDR-Gender Studies
HUM-101 -01 000853,The World of Ideas: Ancient and Medieval,4,HUM-Humanities
HUM-309 -50 000854,Ancient and Medieval Monsters,4,HUM-Humanities
HUM-316 -01 000855,Romanticism,4,HUM-Humanities
HUM-364 -50 000856,The Harlem Renaissance,4,HUM-Humanities
HUM-364 -51 001223,The Harlem Renaissance,4,HUM-Humanities
IDST-370 -01 000717,"Cinema, Self and Other",4,IDST-Interdisciplinary Studies
LIT-100 -01 000882,Introduction to Literature,3,LIT-Literature
LIT-100 -02 000883,Introduction to Literature: Learning Community TRIO,3,LIT-Literature
LIT-312 -01 000884,Women Writers,4,LIT-Literature
LIT-315 -01 000885,Gender and Race in Literature and Film,4,LIT-Literature
LIT-332 -50 000887,Adolescent Literatures,4,LIT-Literature
LIT-341 -01 000890,American Literature: Beginnings-1870,4,LIT-Literature
LIT-349 -01 000891,American Nature Writers,4,LIT-Literature
LIT-349 -50 000892,American Nature Writers,4,LIT-Literature
LIT-361 -01 000893,African-American Literature,4,LIT-Literature
LIT-362 -50 000894,Black Women Writers,4,LIT-Literature
LIT-364 -01 000895,Literature by Immigrants of Color,4,LIT-Literature
LIT-371 -01 000896,English Literature: Beginnings-1800,4,LIT-Literature
LIT-377 -01 000897,Shakespeare,4,LIT-Literature
MDST-370 -50 001187,Contemporary Cinema,4,MDST-Media Studies
MUSC-133 -01 000923,Class Guitar I,4,MUSC-Music
PHIL-100 -21 000869,Multicultural Introduction to Philosophy,4,PHIL-Philosophy
PHIL-100 -22 000871,Multicultural Introduction to Philosophy,4,PHIL-Philosophy
PHIL-102 -01 000858,"Philosophy, Film and the Meaning of Life",4,PHIL-Philosophy
