BIOL-105 -01 000347,Human Biology,4,BIOL-Biology
BIOL-107 -01 000348,"Biology, Race, and Racism",4,BIOL-Biology
BIOL-111 -01 000350,General Biology I,4,BIOL-Biology
BIOL-111 -02 000351,General Biology I,4,BIOL-Biology
BIOL-112 -01 000352,General Biology II,4,BIOL-Biology
BIOL-112 -02 000353,General Biology II,4,BIOL-Biology
BIOL-221 -01 000355,Human Anatomy and Physiology I,4,BIOL-Biology
BIOL-221L -01 000356,Human Anatomy and Physiology I Lab,0,BIOL-Biology
BIOL-222 -01 000357,Human Anatomy and Physiology II,4,BIOL-Biology
BIOL-222L -01 000377,Human Anatomy and Physiology II Lab,0,BIOL-Biology
BIOL-222L -02 000378,Human Anatomy and Physiology II Lab,0,BIOL-Biology
BIOL-225 -01 000380,Basic Microbiology,4,BIOL-Biology
BIOL-225L -01 000381,Basic Microbiology Lab,0,BIOL-Biology
BIOL-225L -02 000382,Basic Microbiology Lab,0,BIOL-Biology
CHEM-105 -01 000394,"Survey of General, Organic, and Biochemistry",4,CHEM-Chemistry
CHEM-105L -01 000395,"Survey of General, Organic, and Biochemistry",0,CHEM-Chemistry
CHEM-105L -02 000396,"Survey of General, Organic, and Biochemistry",0,CHEM-Chemistry
CHEM-107 -01 000397,"Chemistry, Society and the Environment",4,CHEM-Chemistry
CHEM-111 -01 000398,General Chemistry I,4,CHEM-Chemistry
CHEM-111 -02 000399,General Chemistry I,4,CHEM-Chemistry
CHEM-112 -01 000400,General Chemistry II,4,CHEM-Chemistry
CHEM-112 -02 000401,General Chemistry II,4,CHEM-Chemistry
CHEM-332 -01 000408,Organic Chemistry II,4,CHEM-Chemistry
CHEM-332L -01 000409,Organic Chemistry II Lab,1,CHEM-Chemistry
CHEM-332L -02 001228,Organic Chemistry II Lab,1,CHEM-Chemistry
GEOL-118 -01 000417,Environmental Geology,4,GEOL-Geology
LAWE-367 -01 000340,Exploring Forensic Science,4,LAWE-Law Enforcement
NSCI-201 -01 000419,Minnesota Ecology and Conservation Biology,4,NSCI-Natural Science
NSCI-201 -02 000420,Minnesota Ecology and Conservation Biology,4,NSCI-Natural Science
NSCI-204 -50 000421,Environmental Science,4,NSCI-Natural Science
PHYS-101 -50 000422,Introduction to Astronomy,4,PHYS-Physics
PHYS-105 -50 000423,"Air, Weather and Climate",4,PHYS-Physics
PHYS-110 -01 000424,Introduction to Physics,4,PHYS-Physics
PHYS-211 -01 000425,Calculus Based Physics I,5,PHYS-Physics
PHYS-211 -02 000426,Calculus Based Physics I,5,PHYS-Physics
PSYC-309 -01 000228,Cognitive Psychology,4,PSYC-Psychology
PSYC-309 -02 000232,Cognitive Psychology,4,PSYC-Psychology
PSYC-309 -50 001252,Cognitive Psychology,4,PSYC-Psychology
PSYC-312 -01 000233,Research Methods,5,PSYC-Psychology
PSYC-312 -02 000234,Research Methods,5,PSYC-Psychology
PSYC-312 -03 000235,Research Methods,5,PSYC-Psychology
PSYC-312 -04 000236,Research Methods,5,PSYC-Psychology
PSYC-345 -01 000253,Biopsychology,5,PSYC-Psychology
