major,requiredClasses
"Anthropology Track, Social Science BA","['ANTH 301 Approaches to Cultural Anthropology', 'ANTH 302 Gender and Culture', 'SSCI 300 Seeing Like a Social Scientist', 'SSCI 311 Research Methods in Social Science', 'SSCI 501 Great Ideas:  Classics of Social Science', 'SSCI 451 Empirical Research Capstone', 'SSCI 452 Conceptual Research Capstone']"
Applied Statistics Minor,"['STAT 201 Statistics I', 'STAT 301 Analysis of Variance and Multivariate Analysis', 'STAT 311 Regression Analysis', 'DATA 211 Data Science and Visualization', 'STAT 252 Statistics Programming', 'MATH 320 Probability', 'STAT 321 Biostatistics', 'STAT 331 Nonparametric Statistical Methods', 'STAT 341 Analysis of Categorical Data', 'STAT 353 Environmental Statistics', 'STAT 411 Time Series Analysis and Forecasting', 'STAT 480 Statistical Consulting', 'CFS 380 Digital Evidence Analysis', 'DSCI 434 Introduction to Operations Management', 'ECON 497 Economic Research and Forecasting', 'ICS 311 Database Management Systems', 'MIS 335 Management and Use of Databases', 'MIS 380 Business Intelligence and Analytics ', 'MKTG 420 Marketing Research']"
Biochemistry BS,"['MATH 115 College Algebra', 'MATH 120 Precalculus', 'CHEM 111 General Chemistry I', 'CHEM 112 General Chemistry II', 'BIOL 111 General Biology I', 'CHEM 231 Organic Chemistry I', 'CHEM 231L Organic Chemistry I Lab', 'PHYS 211 Calculus Based Physics I', 'PHYS 212 Calculus Based Physics II', 'STAT 201 Statistics I', 'MATH 208 Applied Calculus', 'MATH 210 Calculus I', 'MATH 211 Calculus II', 'BIOL 304 Molecular Biology', 'CHEM 332 Organic Chemistry II', 'CHEM 332L Organic Chemistry II Lab', 'CHEM 325 Biochemistry I: Biomolecule Structure and Function', 'CHEM 327 Biochemistry Laboratory', 'CHEM 341 Quantitative Analysis', 'CHEM 429 Biochemistry II: Bioenergetics, Metabolism, and Macromolecule Biosynthesis', 'CHEM 351 Physical Chemistry I ', 'CHEM 407 Biochemistry of Neurological Disorders', 'CHEM 421 Medicinal Chemistry', 'CHEM 425 Polymer Chemistry and Dynamics', 'CHEM 433 Advanced Organic Chemistry', 'CHEM 435 Advanced Organic Chemistry Lab', 'CHEM 437L Research Methods', 'CHEM 441 Instrumental Analysis ', 'CHEM 469 Seminars in Chemistry', 'CHEM 488 Directed Research in Biochemistry', 'CHEM 350I Chemistry Internship', 'BIOL 302 Cell Biology and Histology']"
Biology BA,"['MATH 115 College Algebra', 'MATH 120 Precalculus', 'BIOL 111 General Biology I', 'BIOL 112 General Biology II', 'CHEM 111 General Chemistry I', 'CHEM 112 General Chemistry II', 'BIOL 211 Principles of Genetics', 'MATH 208 Applied Calculus', 'STAT 201 Statistics I', 'PHYS 110 Introduction to Physics', 'PHYS 211 Calculus Based Physics I', 'PHYS 212 Calculus Based Physics II', 'BIOL 302 Cell Biology and Histology', 'BIOL 304 Molecular Biology', 'BIOL 307 Biochemistry', 'BIOL 310 Ecology', 'BIOL 312 Evolution', 'BIOL 315 Limnology', 'BIOL 316 Behavioral Ecology', 'BIOL 311 Plant Physiology', 'BIOL 322 Comparative Animal Physiology', 'BIOL 324 Invertebrate Biology', 'BIOL 330 Biology of Microorganisms', 'BIOL 350I Biology Internship', 'ESCI 320 Ecosystem and Global Ecology', 'BIOL 406 Biology of Cancer', 'BIOL 415 Pollution Ecology', 'BIOL 416 Invasion Biology', 'BIOL 418 GIS for Natural Sciences', 'BIOL 422 Neurophysiology', 'BIOL 426 Comparative Biomechanics', 'BIOL 469 Seminars in Biology', 'BIOL 471 Science Journal Discussion', 'BIOL 479 Advanced Topics in Biology', 'BIOL 489 Senior Research in Biology', 'BIOL 490H Honors Research Project', 'BIOL 511H Honors Freshwater Ecology and Quality', 'BIOL 512H Honors Insect Ecology and Management', 'BIOL 513H Honors Wetland Ecology ', 'BIOL 514H Honors Forest Ecology', 'CHEM 421 Medicinal Chemistry']"
Biology BS,"['MATH 115 College Algebra', 'MATH 120 Precalculus', 'BIOL 111 General Biology I', 'BIOL 112 General Biology II', 'CHEM 111 General Chemistry I', 'CHEM 112 General Chemistry II', 'BIOL 211 Principles of Genetics', 'CHEM 231 Organic Chemistry I', 'CHEM 231L Organic Chemistry I Lab', 'PHYS 211 Calculus Based Physics I', 'MATH 208 Applied Calculus', 'MATH 210 Calculus I', 'MATH 211 Calculus II', 'PHYS 212 Calculus Based Physics II', 'CHEM 332 Organic Chemistry II', 'CHEM 332L Organic Chemistry II Lab', 'BIOL 302 Cell Biology and Histology', 'BIOL 304 Molecular Biology', 'BIOL 307 Biochemistry', 'BIOL 310 Ecology', 'BIOL 312 Evolution', 'BIOL 315 Limnology', 'BIOL 316 Behavioral Ecology', 'BIOL 311 Plant Physiology', 'BIOL 322 Comparative Animal Physiology', 'BIOL 324 Invertebrate Biology', 'BIOL 330 Biology of Microorganisms', 'BIOL 350I Biology Internship', 'ESCI 320 Ecosystem and Global Ecology', 'BIOL 406 Biology of Cancer', 'BIOL 415 Pollution Ecology', 'BIOL 416 Invasion Biology', 'BIOL 418 GIS for Natural Sciences', 'BIOL 422 Neurophysiology', 'BIOL 426 Comparative Biomechanics', 'BIOL 469 Seminars in Biology', 'BIOL 471 Science Journal Discussion', 'BIOL 479 Advanced Topics in Biology', 'BIOL 489 Senior Research in Biology', 'BIOL 490H Honors Research Project', 'BIOL 511H Honors Freshwater Ecology and Quality', 'BIOL 512H Honors Insect Ecology and Management', 'BIOL 513H Honors Wetland Ecology ', 'BIOL 514H Honors Forest Ecology', 'CHEM 421 Medicinal Chemistry']"
Biology Minor,"['MATH 115 College Algebra', 'MATH 120 Precalculus', 'BIOL 111 General Biology I', 'BIOL 112 General Biology II', 'BIOL 211 Principles of Genetics', 'CHEM 111 General Chemistry I', 'CHEM 112 General Chemistry II']"
Business Administration BS,"['MIS 100 Fundamentals of Information Technology in Organizations', 'MATH 115 College Algebra', 'STAT 201 Statistics I', 'ECON 201 Macroeconomics', 'ECON 202 Microeconomics', 'ACCT 210 Financial Accounting', 'DSCI 434 Introduction to Operations Management', 'FIN 390 Principles of Finance', 'MGMT 310 Management Principles and Practices', 'MIS 310 Principles of Management Information Systems', 'MKTG 300 Marketing Principles', 'ACCT 320 Strategic Management Accounting', 'BLAW 320 Legal Environment of Organizations', 'MGMT 320 Organizational Behavior', 'MGMT 360 Managing a Diverse Workforce', 'MGMT 499 Case Studies in Strategic Management']"
Business Administration DBA,"['DBA 700 Doctoral Seminar in the Development of Management Thought', 'DBA 705 Foundations of Research Inquiry', 'DBA 710 Applied Business Statistics and Analytics', 'DBA 711 Advanced Methodology', 'DBA 712 Applied Research Projects Design', 'DBA 720 Accounting and Financial Policy', 'DBA 730 Information Technology:  Issues and Strategy', 'DBA 740 Global Issues in Business:  A Multi-Disciplinary Approach', 'DBA 755 Current Topics in Business Leadership', 'DBA 755 Current Topics in Business Leadership', 'DBA 760 Advanced Strategic Management Seminar']"
Business Administration MBA,"['ACCT 210 Financial Accounting', 'ECON 201 Macroeconomics', 'ECON 202 Microeconomics', 'ECON 611 Foundations of Economic Analysis', 'STAT 201 Statistics I', 'ACCT 620 Management Accounting', 'DSCI 681 Operations Management', 'ECON 696 Managerial Economics and Strategy', 'FIN 601 Financial Management', 'MGMT 600 Practical Research Methods for Managers', 'MGMT 620 Organizational Behavior and Leadership', 'MKTG 600 Marketing Management', 'MIS 600 Management Information Systems', 'DSCI 620 Project Management', 'DSCI 630 Project Risk Management', 'DSCI 691 Project Management Leadership and Problem Solving', 'ACCT 515G Financial Statement Analysis', 'FIN 511G Investment and Portfolio Analysis', 'FIN 550G International Finance', 'FIN 560G Financial Markets and Institutions', 'FIN 595G Advanced Corporate Finance', 'DSCI 681 Operations Management', 'IBUS 690 Doing Business Internationally', 'MKTG 652 Supply Chain Logistics', 'MKTG 653 Global Sourcing', 'MGMT 699 Management:  Strategy and Policy']"
Business Administration Minor,"['MATH 115 College Algebra', 'ECON 202 Microeconomics', 'STAT 201 Statistics I', 'ACCT 210 Financial Accounting', 'FIN 390 Principles of Finance', 'MGMT 310 Management Principles and Practices', 'MKTG 300 Marketing Principles']"
