major,requiredClasses
Computer Forensics BAS,"['STAT 201 Statistics I', 'MATH 208 Applied Calculus', 'MATH 210 Calculus I', 'MATH 215 Discrete Mathematics', 'CFS 160 Computer Forensics Fundamentals', 'ICS 140 Computational Thinking with Programming', 'CFS 262 Computer and Operating Systems Fundamentals I', 'CFS 264 Computer and Operating Systems Fundamentals II', 'CFS 280 Introduction to Computer Forensics', 'CJS 101 Introduction to Criminal Justice', 'CJS 210 Constitutional Law', 'LAWE 220 Legal Studies in Law Enforcement ', 'CFS 380 Digital Evidence Analysis', 'CYBR 332 Computer Security', 'CFS 484 Computer Laws', 'CFS 499 Computer Forensics Internship/Capstone', 'CFS 345 Electronic Discovery I', 'CFS 445 Electronic Discovery II', 'CFS 485 Mobile Device Security and Forensics', 'CYBR 412 Vulnerability Assessment and Penetration Testing', 'CYBR 432 Cryptography for Cybersecurity Practitioners', 'CYBR 442 Cyber Operations', 'CYBR 482 Malware Analysis', 'CYBR 445 Cyber Incident Response and Handling', 'BLAW 310 Business Law:  UCC and Contracts', 'BLAW 320 Legal Environment of Organizations', 'CJS 310 Introduction to Security Management', 'CJS 320 Criminology and Public Policy', 'CJS 375 Ethics and Professionalism in Criminal Justice', 'CJS 387 White Collar Crime', 'LAWE 339 Violent Crime Investigation', 'PHIL 320 Business Ethics', 'PHIL 325 Criminal Justice Ethics', 'PHIL 327 Ethics in the Information Age', 'POL 301 Citizenship in a Global Context', 'POL 331 Law and the Legal Process', 'POL 333 Constitutional Law:  Civil Rights and Civil Liberties', 'CJS 305 The Criminal Court System', 'CJS 366 The U.S. Intelligence Community']"
Computer Forensics Minor,"['CFS 160 Computer Forensics Fundamentals', 'ICS 140 Computational Thinking with Programming', 'CFS 262 Computer and Operating Systems Fundamentals I', 'CFS 264 Computer and Operating Systems Fundamentals II', 'CFS 280 Introduction to Computer Forensics', 'CFS 484 Computer Laws', 'CFS 345 Electronic Discovery I', 'CFS 380 Digital Evidence Analysis', 'CFS 445 Electronic Discovery II', 'CFS 485 Mobile Device Security and Forensics', 'CYBR 332 Computer Security', 'CYBR 412 Vulnerability Assessment and Penetration Testing', 'CYBR 445 Cyber Incident Response and Handling', 'CYBR 482 Malware Analysis', 'ICS 311 Database Management Systems', 'ICS 325 Internet Application Development', 'BLAW 310 Business Law:  UCC and Contracts', 'BLAW 320 Legal Environment of Organizations', 'CJS 305 The Criminal Court System', 'CJS 310 Introduction to Security Management', 'CJS 320 Criminology and Public Policy', 'CJS 387 White Collar Crime', 'POL 331 Law and the Legal Process', 'CJS 366 The U.S. Intelligence Community', 'CJS 375 Ethics and Professionalism in Criminal Justice', 'PHIL 320 Business Ethics', 'PHIL 327 Ethics in the Information Age', 'PHIL 325 Criminal Justice Ethics']"
Computer Forensics Post-baccalaureate UCERT,"['CFS 160 Computer Forensics Fundamentals', 'ICS 140 Computational Thinking with Programming', 'CFS 262 Computer and Operating Systems Fundamentals I', 'CFS 264 Computer and Operating Systems Fundamentals II', 'CFS 280 Introduction to Computer Forensics', 'CFS 484 Computer Laws', 'CFS 345 Electronic Discovery I', 'CFS 380 Digital Evidence Analysis', 'CFS 445 Electronic Discovery II', 'CFS 485 Mobile Device Security and Forensics', 'CYBR 332 Computer Security', 'CYBR 412 Vulnerability Assessment and Penetration Testing', 'CYBR 445 Cyber Incident Response and Handling', 'CYBR 482 Malware Analysis', 'ICS 311 Database Management Systems', 'ICS 325 Internet Application Development', 'BLAW 310 Business Law:  UCC and Contracts', 'BLAW 320 Legal Environment of Organizations', 'CJS 305 The Criminal Court System', 'CJS 310 Introduction to Security Management', 'CJS 320 Criminology and Public Policy', 'CJS 387 White Collar Crime', 'POL 331 Law and the Legal Process', 'CJS 366 The U.S. Intelligence Community', 'CJS 375 Ethics and Professionalism in Criminal Justice', 'PHIL 320 Business Ethics', 'PHIL 325 Criminal Justice Ethics', 'PHIL 327 Ethics in the Information Age']"
Computer Information Technology BS,"['MATH 115 College Algebra', 'MATH 120 Precalculus', 'MATH 215 Discrete Mathematics', 'ICS 140 Computational Thinking with Programming', 'ICS 141 Programming with Objects', 'ICS 225 Web Design and Implementation', 'STAT 201 Statistics I', 'CFS 262 Computer and Operating Systems Fundamentals I', 'CFS 264 Computer and Operating Systems Fundamentals II', 'ICS 311 Database Management Systems', 'CYBR 332 Computer Security', 'ICS 370 Software Design Models', 'ICS 499 Software Engineering and Capstone Project', 'ICS 325 Internet Application Development', 'ICS 425 Client/Server Architectures']"
Computer Science BS,"['MATH 120 Precalculus', 'MATH 215 Discrete Mathematics', 'ICS 140 Computational Thinking with Programming', 'ICS 141 Programming with Objects', 'ICS 232 Computer Organization and Architecture', 'ICS 240 Introduction to Data Structures', 'MATH 208 Applied Calculus', 'MATH 210 Calculus I', 'ICS 311 Database Management Systems', 'ICS 340 Algorithms and Data Structures  ', 'ICS 365 Organization of Programming Languages', 'ICS 372 Object-Oriented Design and Implementation', 'ICS 440 Parallel and Distributed Algorithms', 'ICS 460 Networks and Security ', 'ICS 462 Operating Systems', 'ICS 499 Software Engineering and Capstone Project']"
Computer Science MS,"['ICS 440 Parallel and Distributed Algorithms', 'ICS 460 Networks and Security ', 'ICS 462 Operating Systems', 'ICS 611 Distributed Database Systems', 'ICS 613 Introduction to Big Data Computing Systems', 'ICS 625 Web Services and Service-Oriented Architectures', 'ICS 640 Distributed Algorithms', 'ICS 661 Wireless Technologies', 'ICS 662 Distributed System Design', 'ICS 668 Cloud Forensics', 'ICS 668 Cloud Forensics', 'ICS 682 Cryptography and Computer Security', 'ICS 684 Cyberspace Security Engineering I', 'ICS 686 Design of Information Assurance Systems', 'ICS 688 Cyber Threat Intelligence', 'ICS 612 Database Security', 'ICS 685 Cyberspace Security Engineering II', 'ICS 631 User Experience and Design Thinking', 'ICS 650 Simulation Modeling and Queuing Theory', 'ICS 664 Real Time Operating Systems', 'ICS 670 Contemporary Issues in Software Engineering', 'ICS 672 Pattern-Oriented Software Construction', 'ICS 690 Special Topics Computer Science:', 'ICS 698 Research Seminar', 'ICS 660I Information and Computer Sciences Student Designed Independent Study']"
Computer Science PSM,"['ICS 611 Distributed Database Systems', 'ICS 613 Introduction to Big Data Computing Systems', 'ICS 625 Web Services and Service-Oriented Architectures', 'ICS 640 Distributed Algorithms', 'ICS 661 Wireless Technologies', 'ICS 662 Distributed System Design', 'ICS 668 Cloud Forensics', 'ICS 668 Cloud Forensics', 'ICS 682 Cryptography and Computer Security', 'ICS 684 Cyberspace Security Engineering I', 'ICS 686 Design of Information Assurance Systems', 'ICS 688 Cyber Threat Intelligence', 'ICS 612 Database Security', 'ICS 685 Cyberspace Security Engineering II', 'ICS 611 Distributed Database Systems', 'ICS 670 Contemporary Issues in Software Engineering', 'ICS 672 Pattern-Oriented Software Construction', 'ICS 613 Introduction to Big Data Computing Systems', 'MGMT 610 Managerial Communications', 'ICS 698 Research Seminar', 'DSCI 620 Project Management', 'DSCI 630 Project Risk Management', 'DSCI 681 Operations Management', 'ICS 631 User Experience and Design Thinking', 'ICS 698 Research Seminar', 'WRIT 673 Technical Communication in International Contexts', 'PSYC 610 Applied Research Methods', 'ICS 664 Real Time Operating Systems', 'ICS 650 Simulation Modeling and Queuing Theory', 'ICS 690 Special Topics Computer Science:', 'ICS 650I Information and Computer Sciences Individual Internship', 'ICS 660I Information and Computer Sciences Student Designed Independent Study']"
Creative Writing BA,"['WRIT 251 Introduction to Creative Writing', 'WRIT 359 Boot Camp: Creative Writing for Non-Majors', 'WRIT 353 Writing Short Fiction', 'WRIT 354 Writing Poetry', 'WRIT 357 Writers as Readers', 'WRIT 358 1000 Words or Less', 'WRIT 371 Editing', 'WRIT 481 Advanced Creative Writing', 'INFS 315 Searching for Information', 'INFS 338 The Craft and Commerce of Book Publishing', 'MDST 520 Digital Storytelling', 'WRIT 300 Creative Writers, Identity and Race in the Twin Cities', 'WRIT 324 Topics in Writing', 'WRIT 344 Writing for Publication and Profit', 'WRIT 352 Writing Memoir and Creative Nonfiction', 'WRIT 353 Writing Short Fiction', 'WRIT 354 Writing Poetry', ""WRIT 355 Writing Children's Literature"", 'WRIT 356 Writing Humor', 'WRIT 358 1000 Words or Less', 'WRIT 359 Boot Camp: Creative Writing for Non-Majors', 'WRIT 377 Writing Proposals and Grants', 'WRIT 481 Advanced Creative Writing', 'WRIT 531 Advanced Writing', 'WRIT 532 Writing about Place', 'WRIT 583 Writing Major Projects', 'WRIT 598 Advanced Topics in Creative Writing']"
Creative Writing Minor,"['WRIT 251 Introduction to Creative Writing', 'WRIT 359 Boot Camp: Creative Writing for Non-Majors', 'MDST 520 Digital Storytelling', 'MDST 520G Digital Storytelling', 'WRIT 300 Creative Writers, Identity and Race in the Twin Cities', 'WRIT 324 Topics in Writing', 'WRIT 344 Writing for Publication and Profit', 'WRIT 352 Writing Memoir and Creative Nonfiction', 'WRIT 353 Writing Short Fiction', 'WRIT 354 Writing Poetry', ""WRIT 355 Writing Children's Literature"", 'WRIT 356 Writing Humor', 'WRIT 357 Writers as Readers', 'WRIT 358 1000 Words or Less', 'WRIT 359 Boot Camp: Creative Writing for Non-Majors', 'WRIT 481 Advanced Creative Writing', 'WRIT 598 Advanced Topics in Creative Writing', 'SCRW 313 Beginning Screenwriting', 'SCRW 314 New Screenplay Forms', 'SCRW 415 Advanced Screenwriting', 'THEA 400 Playwriting I', 'THEA 587 Playwriting II']"
Criminal Justice BA,"['CJS 101 Introduction to Criminal Justice', 'CJS 201 Foundations in Criminal Justice', 'CJS 210 Constitutional Law', 'CJS 300 Corrections and Community Corrections', 'CJS 301 Research Methods in Criminal Justice', 'CJS 305 The Criminal Court System', 'CJS 320 Criminology and Public Policy', 'LAWE 330 Policing and Society', 'CJS 360 Diversity in Criminal Justice', 'CJS 375 Ethics and Professionalism in Criminal Justice', 'CJS 350 Citizenship:  Community Involvement', 'CJS 354 Restorative Justice', 'CJS 489 Criminal Justice Capstone Internship', 'CJS 490 Criminal Justice Capstone Research', 'CJS 110 Careers in Criminal Justice', 'CJS 310 Introduction to Security Management', 'CJS 315 Sexual Violence and Child Exploitation', 'CJS 318 Women and Crime', 'CJS 325 Inside-Out:  Prison Exchange Program', 'CJS 333 Gangs', 'CJS 335 Homicide Studies', 'CJS 340 Comparative Criminal Justice', 'CJS 344 Terrorism and Counterterrorism', 'CJS 345 Organization and Administration in Criminal Justice', 'CJS 346 Victimology', 'CJS 350 Citizenship:  Community Involvement', 'CJS 354 Restorative Justice', 'CJS 356 Violence in America', 'CJS 358 Community Building for Criminal Justice', 'CJS 365 Media in Criminal Justice: Fake News and High Drama', 'CJS 366 The U.S. Intelligence Community', 'CJS 377 Criminal Justice Practicum', 'CJS 382 Topics in Criminal Justice:', 'CJS 387 White Collar Crime', 'CJS 465 Criminal Justice Response to the Mentally Ill and Other Special Populations', 'LAWE 104 Emergency Medical Responder Law Enforcement', 'LAWE 280 Juvenile Justice', 'LAWE 312 Emergency Management for Law Enforcement', 'LAWE 329 Technology and Modern Policing ', 'LAWE 339 Violent Crime Investigation', 'LAWE 367 Exploring Forensic Science', 'LAWE 388 Crime Analysis', 'LAWE 431 Police Culture', 'LAWE 445 Law Enforcement Leadership:  Contemporary Issues']"
Criminal Justice Minor,"['CJS 101 Introduction to Criminal Justice', 'CJS 201 Foundations in Criminal Justice', 'CJS 320 Criminology and Public Policy', 'CJS 300 Corrections and Community Corrections', 'CJS 305 The Criminal Court System', 'LAWE 330 Policing and Society', 'CJS 300 Corrections and Community Corrections', 'CJS 305 The Criminal Court System', 'CJS 310 Introduction to Security Management', 'CJS 315 Sexual Violence and Child Exploitation', 'CJS 318 Women and Crime', 'CJS 325 Inside-Out:  Prison Exchange Program', 'CJS 333 Gangs', 'CJS 335 Homicide Studies', 'CJS 340 Comparative Criminal Justice', 'CJS 344 Terrorism and Counterterrorism', 'CJS 345 Organization and Administration in Criminal Justice', 'CJS 350 Citizenship:  Community Involvement', 'CJS 354 Restorative Justice', 'CJS 356 Violence in America', 'CJS 358 Community Building for Criminal Justice', 'CJS 365 Media in Criminal Justice: Fake News and High Drama', 'CJS 366 The U.S. Intelligence Community', 'CJS 370 Probation and Parole', 'CJS 377 Criminal Justice Practicum', 'CJS 382 Topics in Criminal Justice:', 'CJS 387 White Collar Crime', 'CJS 465 Criminal Justice Response to the Mentally Ill and Other Special Populations', 'LAWE 312 Emergency Management for Law Enforcement', 'LAWE 330 Policing and Society', 'LAWE 339 Violent Crime Investigation', 'LAWE 367 Exploring Forensic Science', 'LAWE 388 Crime Analysis', 'LAWE 431 Police Culture', 'LAWE 445 Law Enforcement Leadership:  Contemporary Issues']"
Criminal Justice MS,['CJS 625 Community Building and Social Change']
Cyber Operations MS,"['CYBR 621 Secure System Programming and OS Theory', 'CYBR 641 Cyber Operations Fundamentals', 'CYBR 645 Cyber Threat Hunting and Intelligence', 'CYBR 671 Digital Forensics I', 'CYBR 698 Cyber Operations Capstone Project', 'CYBR 635 Applied Cryptography', 'CYBR 672 Digital Forensics II', 'CYBR 681 Malware Analysis and Reverse Engineering', 'MIS 675 Risk Analysis in Information Technology', 'CYBR 698 Cyber Operations Capstone Project', 'CYBR 611 Vulnerability Discovery and Exploitation', 'CYBR 665 Securing Wireless and Mobile Technologies', 'CYBR 675 Virtualization and Cloud Security', 'CYBR 698 Cyber Operations Capstone Project', 'MIS 694 Cyber Ethics', 'CYBR 690 Special Topics in Cyber Operations', 'CYBR 698 Cyber Operations Capstone Project']"
Cybersecurity  Post-baccalaureate UCERT,"['CYBR 332 Computer Security', 'CYBR 412 Vulnerability Assessment and Penetration Testing', 'CYBR 442 Cyber Operations', 'CYBR 362 Networking Protocols and Analysis', 'ICS 460 Networks and Security ', 'CFS 380 Digital Evidence Analysis', 'CFS 484 Computer Laws', 'CFS 485 Mobile Device Security and Forensics', 'CYBR 445 Cyber Incident Response and Handling', 'CYBR 432 Cryptography for Cybersecurity Practitioners', 'CYBR 482 Malware Analysis', 'ICS 490 Special Topics in Information and Computer Sciences', 'MIS 412 Administration of the Management Information Systems Function', 'MIS 450 MIS Auditing and Security Controls']"
Cybersecurity BS,"['MATH 115 College Algebra', 'MATH 120 Precalculus', 'MATH 215 Discrete Mathematics', 'ICS 140 Computational Thinking with Programming', 'ICS 141 Programming with Objects', 'CFS 262 Computer and Operating Systems Fundamentals I', 'CFS 264 Computer and Operating Systems Fundamentals II', 'ICS 251 IT Work Skills', 'STAT 201 Statistics I', 'ICS 232 Computer Organization and Architecture', 'ICS 240 Introduction to Data Structures', 'ICS 311 Database Management Systems', 'CYBR 332 Computer Security', 'CYBR 362 Networking Protocols and Analysis', 'CYBR 412 Vulnerability Assessment and Penetration Testing', 'CYBR 432 Cryptography for Cybersecurity Practitioners', 'CYBR 442 Cyber Operations', 'CYBR 350I Cybersecurity Individualized Internship', 'CFS 380 Digital Evidence Analysis', 'CFS 484 Computer Laws', 'CFS 485 Mobile Device Security and Forensics', 'CYBR 445 Cyber Incident Response and Handling', 'CYBR 482 Malware Analysis', 'ICS 325 Internet Application Development', 'ICS 490 Special Topics in Information and Computer Sciences', 'MIS 450 MIS Auditing and Security Controls']"
Cybersecurity Minor,"['CYBR 332 Computer Security', 'CYBR 412 Vulnerability Assessment and Penetration Testing', 'CYBR 442 Cyber Operations', 'CYBR 362 Networking Protocols and Analysis', 'ICS 460 Networks and Security ', 'CFS 380 Digital Evidence Analysis', 'CFS 484 Computer Laws', 'CFS 485 Mobile Device Security and Forensics', 'CYBR 445 Cyber Incident Response and Handling', 'CYBR 432 Cryptography for Cybersecurity Practitioners', 'CYBR 482 Malware Analysis', 'ICS 490 Special Topics in Information and Computer Sciences', 'MIS 412 Administration of the Management Information Systems Function', 'MIS 450 MIS Auditing and Security Controls']"
Data Science BS,"['ICS 140 Computational Thinking with Programming', 'STAT 201 Statistics I', 'MATH 215 Discrete Mathematics', 'DATA 211 Data Science and Visualization', 'STAT 301 Analysis of Variance and Multivariate Analysis', 'STAT 311 Regression Analysis', 'MATH 315 Linear Algebra and Applications', 'DATA 401 Statistical Machine Learning', 'ICS 141 Programming with Objects', 'ICS 240 Introduction to Data Structures', 'ICS 311 Database Management Systems', 'ICS 352 Machine Learning', 'ICS 412 Computational Data Mining', 'MIS 380 Business Intelligence and Analytics ', 'MIS 480 Predictive Analytics', 'STAT 331 Nonparametric Statistical Methods', 'STAT 341 Analysis of Categorical Data', 'STAT 411 Time Series Analysis and Forecasting', 'ICS 340 Algorithms and Data Structures  ', 'ICS 411 Big Data Storage and Processing', 'ICS 455 Social Network Analysis', 'MIS 310 Principles of Management Information Systems', 'MIS 320 Information Systems Analysis and Design', 'MIS 335 Management and Use of Databases', 'STAT 480 Statistical Consulting', 'DATA 499 Data Science Capstone']"
Database Administration GCERT,"['MIS 600 Management Information Systems', 'DSCI 620 Project Management', 'MIS 653 Supply Chain Information Systems', 'MIS 657 Database and Client/Server Systems', 'MIS 658 Advanced Database Administration', 'MIS 680 Introduction to Information Assurance', 'MIS 683 Process Analysis and Design', 'MIS 685 Data Mining Tools']"
Dental hygiene BSDH,"['DENH 300 Designing and Managing Teams in Health Care', 'DENH 310 Current and Relevant Topics for the Dental Hygienist', 'DENH 320 Management of Oral Healthcare Delivery', 'DENH 330 Dental Hygiene Care for Culturally Diverse and Special Needs Populations', 'DENH 410 Evidence-Based Dental Hygiene Practice', 'DENH 430 Dental Hygiene Capstone', 'STAT 201 Statistics I', 'WRIT 331 Writing in Your Major', 'PHIL 321 Medical Ethics', 'DENH 340 Educational Concepts in Dental Hygiene']"
Design of User Experience GCERT,"['WRIT 574G Usability and User Experience', 'WRIT 631 User Experience and Design Thinking', 'WRIT 677 User Research', 'MIS 671 Problem Formulation and Data Presentation', 'MKTG 600 Marketing Management', 'MKTG 642 Design and Management of Advertising Programs']"
Design of User Experience Minor,"['WRIT 574G Usability and User Experience', 'WRIT 577 Design of User Experience', 'WRIT 372 Document and Information Design I', 'ICS 225 Web Design and Implementation', 'ICS 321 Multimedia Design and Programming', 'PSYC 309 Cognitive Psychology', 'WRIT 373 Writing and Designing for the Web I', 'WRIT 573 Writing and Designing for the Web II', 'MDST 580 Issues in Communication Technology', 'MDST 583 Online Education and Training']"
Digital Media Minor,"['WRIT 280 Digital Tools for Writing and Communication', 'ARTS 115 Introduction to Photography', 'ARTS 203 Introduction to Digital Arts', 'ARTS 316 Intermediate Photography', 'ARTS 323 Intermediate Digital Arts', 'MDST 487 Podcasting: Writing and Producing for Audio/Radio', 'MDST 520 Digital Storytelling', 'SCRW 313 Beginning Screenwriting', 'SCRW 315 Film Production and Editing I', 'SCRW 383 Writing For Video Games', 'SCRW 410 Film Production and Editing II ', 'MDST 210 Introduction to Social Media and Online Community', 'MDST 485 Communicating with New Media ', 'WRIT 302 Content Strategy', 'WRIT 341 Writing the News in a Digital World', 'WRIT 372 Document and Information Design I', 'WRIT 373 Writing and Designing for the Web I', 'MDST 583 Online Education and Training', 'WRIT 350I Writing Individual Internship', 'MDST 350I Media Studies Individual Internship']"
Disability Studies Minor,"['HSDS 304 Introduction to Disabilities', 'HSDS 305 Disability Rights: History and Current Trends', 'HSDS 306 Community Resources and Services for Persons with Disabilities', 'HSDS 307 Blind, Deaf Blind, and Deaf Culture, History and Resources', 'HSDS 308 Aging and Disabilities', 'HSDS 399 The Disability Experience in Television and Film', 'HSER 303 Disability Awareness', 'HSVP 309 Violence and Disability']"
Early Childhood Studies BAS,"['PSYC 100 General Psychology', 'PSYC 308 Child Psychology', 'PSYC 308T Child Psychology Theory Seminar', 'PSYC 356 Early Childhood Development within a Social/Cultural and Historical Context', 'PSYC 357 Observing and Assessing Young Children:  Birth Through Age Five', 'PSYC 359 Positive Behavior Guidance', 'EDU 321 Urban Infant-Toddler Curriculum and Practicum', 'PSYC 415 Principles of Teaching and Learning in Early Childhood', 'PSYC 416 Comparative Study of Early Childhood Program Models', 'PSYC 417 Language and Communication Development in Early Childhood Education', 'PSYC 418 Early Childhood Studies Practicum', 'PSYC 420 Early Childhood Studies Capstone:  Professionalism and Ethical Issues', 'EDU 331 Physical Development, Health, Nutrition, Effects of Drugs in Birth-Grade 6', 'EDU 341 The Child and the Family in an Urban Setting', 'EDU 361 The Arts in Early Childhood and Elementary Education', 'EDU 325 Emergent Literacy in Urban Early Childhood Education', 'PSYC 102 Dynamics of Parent/Child Relationships', 'PSYC 305 Behavior Disorders in Children', 'PSYC 306 Child Abuse', 'PSYC 353 Selected Topics in Early Childhood', 'PSYC 393 Special Education Overview', 'PSYC 421 Children and Nature', 'PSYC 422 Inquiry and the Environment in Early Childhood', 'PSYC 425 Administration of Early Childhood Programs I', 'PSYC 425 Administration of Early Childhood Programs I', 'PSYC 426 Administration of Early Childhood Programs II']"
Economics BS,"['MIS 100 Fundamentals of Information Technology in Organizations', 'ECON 300 Analytical and Quantitative Methods for Economists', 'MATH 210 Calculus I', 'MATH 208 Applied Calculus', 'STAT 201 Statistics I', 'ECON 201 Macroeconomics', 'ECON 202 Microeconomics', 'ECON 351 Intermediate Macroeconomics', 'ECON 352 Intermediate Microeconomics', 'ECON 420 Money, Banking and Financial Institutions', 'ECON 497 Economic Research and Forecasting', 'ECON 311 Economics of the Environment', 'ECON 313 Labor Economics', 'ECON 314 International and Comparative Economics', 'ECON 315 Economics of Diversity', 'ECON 316 Health Economics', 'ECON 317 Global Economic and Financial Crises: Theory and Policy', 'ECON 490 Topics in Economics', 'ECON 496 Managerial Economics', 'ACCT 210 Financial Accounting', 'ECON 314 International and Comparative Economics', 'ECON 420 Money, Banking and Financial Institutions', 'ECON 496 Managerial Economics', 'ECON 497 Economic Research and Forecasting', 'FIN 390 Principles of Finance', 'ECON 311 Economics of the Environment', 'ECON 313 Labor Economics', 'ECON 315 Economics of Diversity', 'ECON 316 Health Economics', 'ECON 317 Global Economic and Financial Crises: Theory and Policy', 'ECON 351 Intermediate Macroeconomics', 'ECON 352 Intermediate Microeconomics', 'ECON 490 Topics in Economics', 'DSCI 431 Managerial Problem-solving and Decision-making Methods', 'DSCI 434 Introduction to Operations Management', 'FIN 550 International Finance', 'ENTR 490 Entrepreneurship and Venture Creation', 'MKTG 420 Marketing Research']"
Economics Minor,"['ECON 201 Macroeconomics', 'ECON 202 Microeconomics', 'ECON 300 Analytical and Quantitative Methods for Economists', 'ECON 311 Economics of the Environment', 'ECON 313 Labor Economics', 'ECON 314 International and Comparative Economics', 'ECON 315 Economics of Diversity', 'ECON 316 Health Economics', 'ECON 317 Global Economic and Financial Crises: Theory and Policy', 'ECON 351 Intermediate Macroeconomics', 'ECON 352 Intermediate Microeconomics', 'ECON 420 Money, Banking and Financial Institutions', 'ECON 490 Topics in Economics', 'ECON 496 Managerial Economics', 'ECON 497 Economic Research and Forecasting']"
Educational Psychology Minor,"['PSYC 385 Educational Psychology', 'PSYC 100 General Psychology', 'PSYC 330 Psychology of Learning:  Contemporary Theories and Applications', 'PSYC 327 Psychological Testing', 'PSYC 384 Education Futures', 'PSYC 324 Practical Behavior Analysis and Modification', 'PSYC 339 Working with Children in the Middle Years', 'PSYC 392 Psychology and Education of the Gifted', 'PSYC 305 Behavior Disorders in Children', 'PSYC 390 Developmental Disabilities: Issues, Assessment and Intervention', 'PSYC 393 Special Education Overview', 'PSYC 301 Adolescent Psychology', 'PSYC 212 Introduction to Diversity and Ethics in Psychology', 'PSYC 313 Family Systems', 'PSYC 415 Principles of Teaching and Learning in Early Childhood', 'PSYC 360 Friday Forum Topics', 'PSYC 357 Observing and Assessing Young Children:  Birth Through Age Five']"
Electronic Discovery Minor,"['CFS 345 Electronic Discovery I', 'CFS 445 Electronic Discovery II', 'CFS 484 Computer Laws', 'ACCT 340 Accounting Information Systems', 'BLAW 310 Business Law:  UCC and Contracts', 'BLAW 320 Legal Environment of Organizations', 'BLAW 430 Marketing and Advertising Law', 'CJS 305 The Criminal Court System', 'CJS 345 Organization and Administration in Criminal Justice', 'CJS 387 White Collar Crime', 'ENTR 300 Interdisciplinary Business Skills and Knowledge for Non-Business Majors', 'HRM 310 Human Resource Management:  A Strategic Framework', 'HRM 370 Employment Law', 'HSA 362 Human Services Administration', 'HSCD 353 Case Management for Alcohol and Drug Counseling', 'IDST 371 American Legal System, Reasoning and Writing', 'INFS 315 Searching for Information', 'LAWE 339 Violent Crime Investigation', 'LAWE 388 Crime Analysis', 'MGMT 310 Management Principles and Practices', 'MIS 335 Management and Use of Databases', 'MIS 450 MIS Auditing and Security Controls', 'PHIL 327 Ethics in the Information Age', 'POL 331 Law and the Legal Process']"
English as a Second Language Minor,"['EDU 200 Introduction to Urban Education and Reflective Teaching', 'EDU 203 Multicultural Education', 'LING 316 The Nature of Language', 'EDU 435 Teaching and Assessing English Language Learners', 'EDU 451 Immigrants and Refugees in Urban Schools', 'EDU 452 Theories and Methods of Language Learning', 'EDU 453 Assessment and Curriculum for English Learners in Urban Schools ', 'EDU 454 The Urban ESL Professional', 'EDU 400 Literacy Education in Urban Schools', 'EDU 483 Foundations of Teaching Reading in Urban Grades K-6', 'EDU 456 Elementary ESL Practicum  ', 'EDU 457 Middle School ESL Practicum   ', 'EDU 458 High School ESL Practicum   ']"
English BA,"['WRIT 131 Writing I', 'LIT 341 American Literature:  Beginnings-1870', 'LIT 342 American Literature:  1870-Present', 'LIT 371 English Literature:  Beginnings-1800', 'LIT 372 English Literature: 1800-Present', 'LIT 312 Women Writers', 'LIT 315 Gender and Race in Literature and Film', 'LIT 362 Black Women Writers', 'LIT 365 Asian Women Writers', 'LIT 361 African-American Literature', 'LIT 362 Black Women Writers', 'LIT 363 American Indian Literature', 'LIT 364 Literature by Immigrants of Color', 'LIT 365 Asian Women Writers', 'LIT 368 Asian American Literature', 'HUM 310 The First Civilizations', 'HUM 311 The Classical World:  Greece', 'HUM 312 The Classical World:  Rome', 'HUM 313 Medieval Civilization', 'HUM 314 The Renaissance', 'HUM 315 The Enlightenment', 'HUM 317 Modernism', 'HUM 318 Postmodernism', 'HUM 321 Myth', 'HUM 326 Folklore', 'HUM 327 Convivencia:  Jewish, Christian, and Islamic Arts in Medieval Spain', 'HUM 364 The Harlem Renaissance', 'LIT 377 Shakespeare', 'LIT 501 Literary Criticism:  Beginnings-1950', 'LIT 502 Literary Criticism:  1950-Present', 'LING 547 History of the English Language', 'LIT 480 Literature Capstone Seminar']"
English for Teaching BS,"['COMM 103 Public Speaking', 'WRIT 121 Writing I Intensive', 'WRIT 131 Writing I', 'WRIT 132 Written and Visual Communication', 'WRIT 231 Writing II', 'WRIT 261 Business Writing', 'WRIT 271 Technical Writing', 'LIT 300 Literary Analysis', 'LIT 332 Adolescent Literatures', 'WRIT 251 Introduction to Creative Writing', 'WRIT 331 Writing in Your Major', 'LING 316 The Nature of Language', 'LING 326 Language and Culture', 'LIT 312 Women Writers', 'LIT 345 Working Class Literature', 'LIT 361 African-American Literature', 'LIT 362 Black Women Writers', 'LIT 363 American Indian Literature', 'LIT 364 Literature by Immigrants of Color', 'LIT 365 Asian Women Writers', 'LIT 368 Asian American Literature', 'LIT 341 American Literature:  Beginnings-1870', 'LIT 342 American Literature:  1870-Present', 'LIT 371 English Literature:  Beginnings-1800', 'LIT 372 English Literature: 1800-Present', 'LIT 377 Shakespeare', 'COMM 231 Introduction to Interpersonal Communication', 'COMM 233 Introduction to Intercultural Communication', 'COMM 333 Intermediate Intercultural Communication', 'COMM 351 Communication in Work Groups', 'LIT 400 Reflective\xa0Capstone']"
